Категория;Товар;Цена;Адрес;Видим;Рекомендуемый;Бренд;Вариант;"Старая цена";Артикул;Склад;"Заголовок страницы";"Ключевые слова";"Описание страницы";Аннотация;Описание;Изображения;"Вид товара";Размеры;Толщина
"Конструкционный пластик/Полиэтилен (PE)/PEHD Экструзионный";"РЕ Полиэтилен пруток от 15 мм";21.60;re-polietilen-prutok-ot-15-mm;1;1;;;;;;"РЕ Полиэтилен пруток от 15 мм";"РЕ Полиэтилен пруток от 15 мм";;;"<p>PEHD экструзионный</p>
<p>Легкий и дешевый для низких нагрузок и термоформования.&nbsp;PEHD экструзионный&ndash; пластик который относится к группе мягких и гибких термопластов.</p>
<p>Среди его характеристик:&nbsp;высокая пластичность - материал PE может быть отформован, обработан или соединен сваркой,&nbsp;устойчивость к воде,&nbsp;устойчивость к химическим веществам,&nbsp;физиологическое безразличие.&nbsp;Очень широкое применение в пищевой промышленности, быту или строительстве.</p>
<p>Диаметр: от 15 мм до 220 мм</p>
<p>Длина: 1000 мм</p>
<p>ЦветЖ белый/чёрный</p>";"polietilen_prutki.jpg, polietilen_prutki_chern.jpg";Пруток;;
"Конструкционный пластик/Полиэтилен (PE)/PEHD Экструзионный";"РЕ Полиэтилен лист от 2 мм";291.84;re-polietilen-list-ot-2-mm;1;1;;;;;;"РЕ Полиэтилен лист от 2 мм";"РЕ Полиэтилен лист от 2 мм";;;"<p>PE300 &ndash; Полиэтилен</p>
<p>Молекулярная масса 300.000. Данный полиэтилен подобен PE500 с более высокой жесткостью и более низкой стойкостью в отношении постоянных ударов. Применение этого полиэтилена подобно использованию PE500, как правило, чаще используется, когда требуется слегка более жесткий материал.</p>
<p>Толщина: от 2 мм до 50 мм</p>
<p>Размеры: 1000 х 2000</p>
<p>Цвет: белый/чёрный</p>";"polietilen_listy.jpg, polietilen_listy_chern.jpg";лист;;
"Конструкционный пластик/Полиэтилен (PE)/PEHD Экструзионный";"РЕ Полиэтилен пруток сварной белый";153.00;re-polietilen-prutok-svarnoj-belyj;1;0;;;;;;"РЕ Полиэтилен пруток сварной белый";"РЕ Полиэтилен пруток сварной белый";;;;;пруток;;
"Конструкционный пластик/Полиэтилен (PE)/PEHD Экструзионный";"PE Полиэтелен пруток сварной черный";153.00;pe-polietelen-prutok-svarnoj-chernyj;1;0;;;;;;"PE Полиэтелен пруток сварной черный";"PE Полиэтелен пруток сварной черный";;;;;пруток;;
"Конструкционный пластик/Полиэтилентерафталат (PET)";"Полиэтилентерафталат (ПЭТ) пруток от 40 мм";464.40;polietilenteraftalat-pet-prutok-ot-40-mm;1;1;;;;;;"Полиэтилентерафталат (ПЭТ) пруток от 40 мм";"Полиэтилентерафталат (ПЭТ) пруток от 40 мм";;;"<p>PET &ndash; Арнит (ERTALYTE)</p>
<p>Арнит (полиэтилентерефталат) &ndash; это относительно новый полукристаллический полимер, разработанный для технического применения. Он подходит для изготовления из него механических деталей, которые требуют стабильности размеров (формоустойчивости) и низкого коэффициента трения.</p>
<p>Диаметр: от 50 до 100 мм</p>
<p>Длина: 1000 мм</p>
<p>&nbsp;</p>";u6q4s0hd.jpg;пруток;;
"Конструкционный пластик/Поликарбонат (PC)";"РС Поликарбонат пруток от 20 мм";102.91;rs-polikarbonat-prutok-ot-20-mm;1;1;;;;;;"РС Поликарбонат пруток от 20 мм";"РС Поликарбонат пруток от 20 мм";;;"<p>PC &ndash; Lexan (Поликарбонат)</p>
<p>Поликарбонат. Этот аморфный полимер обычно используется в связи с его высокой ударопрочностью, в том числе при низких температурах. Этот материал не рекомендуется для использования в механике, даже если формоустойчивость делает его подходящим для изготовления точных деталей.&nbsp;</p>
<p>Диаметр: от 25 мм до 80 мм</p>
<p>Длина: 1000 мм</p>
<p>Цвет: Прозрачный</p>";policarbonat_prutki.jpg;пруток;;
"Конструкционный пластик/Полипропилен (PP)";"РР Полипропилен пруток от 15 мм";19.44;rr-polipropilen-prutok-ot-15-mm;1;1;;;;;;"РР Полипропилен пруток от 15 мм";"РР Полипропилен пруток от 15 мм";;;"<p>Полипропилен &mdash; полимер пропилена (пропена).</p>
<p>Полипропилен получают полимеризацией пропилена в присутствии металлокомплексных катализаторов, например, катализаторов Циглера-Натта.</p>
<p>Диаметр: от 16 мм до 160 мм</p>
<p>Длина: 1000 мм</p>
<p>Цвет: Cерый</p>";"polipropilen_prutki.jpg, polipropilen_prutki2.jpg";пруток;;
"Конструкционный пластик/Полипропилен (PP)";"РР Полипропилен лист от 2 мм";288.80;rr-polipropilen-list-ot-2-mm;1;1;;;;;;"РР Полипропилен лист от 2 мм";"РР Полипропилен лист от 2 мм";;;"<p>Полипропилен &mdash; полимер пропилена (пропена).</p>
<p>Полипропилен получают полимеризацией пропилена в присутствии металлокомплексных катализаторов, например, катализаторов Циглера-Натта.</p>
<p>Толщина: от 2 мм до 20 мм</p>
<p>Размер: 1000 х 2000</p>
<p>Цвет: Серый</p>";polipropilen_listy.jpg;лист;;
"Конструкционный пластик/Полиэтилен (PE)/PEHD Экструзионный";"РЕ Полиэтилен  пруток д.15х1000";24.00;re-polietilen-prutok-d20h1000-460-1343;1;0;;;;;;"РЕ Полиэтилен  пруток д.15х1000";"РЕ Полиэтилен  пруток д.15х1000";;;;;пруток;;
"Конструкционный пластик/Полиэтилен (PE)/PEHD Экструзионный";"РЕ Полиэтилен  пруток черный д.15х1000";24.00;re-polietilen-prutok-chernyj-d20h1000-1344;1;0;;;;;;"РЕ Полиэтилен  пруток черный д.15х1000";"РЕ Полиэтилен  пруток черный д.15х1000";;;;;пруток;;
